"portcode","name","unctad","netpascode","ets","ishistorical","isactive","additionaldata","rankorder"
"JPMTR","MUTSURE","JPMTR",NULL,NULL,False,True,NULL,7
"EEMUG","MUUGA","EEMUG",NULL,NULL,False,True,NULL,554
"VNMYKO","MY KHE OIL TANKER TERMINAL",NULL,NULL,NULL,False,True,NULL,0
"VNMUT","MY THO","VNMUT",NULL,NULL,False,True,NULL,8
"VNMTH","MY THOI","VNMTH",NULL,NULL,False,True,NULL,30
"JPMYIS","MYAKO IS.",NULL,NULL,NULL,False,True,NULL,0
"RUMYIS","MYEDHI IS.",NULL,NULL,NULL,False,True,NULL,0
"MMMYIK","MYEIK","MMMYI",NULL,NULL,False,True,NULL,0
"MMMYKA","MYEIK ANCHROAGE",NULL,NULL,NULL,False,True,NULL,0
"UANIK","MYKOLAIV","UANIK",NULL,NULL,False,True,NULL,0
"GRJMK","MYKONOS","GRJMK",NULL,NULL,False,True,NULL,0
"GRMYLI","MYLAKI",NULL,NULL,NULL,False,True,NULL,37
NULL,"MYNEWPORT",NULL,NULL,NULL,False,True,NULL,0
"NOMYO","MYRE","NOMYO",NULL,NULL,False,True,NULL,15
"GRMYR","MYRINA","GRMYR",NULL,NULL,False,True,NULL,0
"USMYG","MYRTLE GROVE","USMYG",NULL,NULL,False,True,NULL,60
"GRMJT","MYTILENE","GRMJT",NULL,NULL,False,True,NULL,0
"USNLOP","N LOCUST POINT MARINE TERMINAL","USNLO",NULL,NULL,False,True,NULL,0
"CGNKO","N'KOSSA TERMINAL","CGNKO",NULL,NULL,False,True,NULL,7
NULL,"N'Kossa Terminal0Offsh",NULL,NULL,NULL,False,True,NULL,0
"FINLI","NAANTALI","FINLI",NULL,NULL,False,True,NULL,70
"IRNABD","NABAND",NULL,NULL,NULL,False,True,NULL,0
"IDNABE","NABIRE",NULL,NULL,NULL,False,True,NULL,1
"EGNABQ","NABQ",NULL,NULL,NULL,False,True,NULL,0
"MZMNC","NACALA","MZMNC",NULL,NULL,False,True,NULL,83
"BRPONL","NACIONAL","BRPON",NULL,NULL,False,True,NULL,0
"JPUKB","NADAHAMA","JPUKB",NULL,NULL,False,True,NULL,0
"FINLI","NADENDAL","FINLI",NULL,NULL,False,True,NULL,0
"MANDR","NADOR","MANDR",NULL,NULL,False,True,NULL,229
"RUNADM","NADYM",NULL,NULL,NULL,False,True,NULL,0
"DKNAD","NAESTVED","DKNAD",NULL,NULL,False,True,NULL,56
